type	total_value
confederate	267000
confederate	265000
confederate	317000
confederate	279000
confederate	656000
confederate	134000
confederate	349000
confederate	699000
confederate	335000
confederate	352000
confederate	289000
confederate	662000
confederate	240000
confederate	530000
confederate	524000
confederate	241000
confederate	361000
confederate	347000
confederate	593000
confederate	4361000
confederate	267000
confederate	1147000
confederate	1348000
confederate	1360000
confederate	1341000
confederate	511000
confederate	200000
confederate	460000
confederate	454000
confederate	303000
confederate	137000
confederate	284000
confederate	101000
confederate	592000
confederate	695000
confederate	786000
confederate	695000
confederate	141000
confederate	385000
confederate	502000
confederate	494000
confederate	473000
confederate	422000
confederate	24000
confederate	537000
confederate	365000
confederate	209000
confederate	279000
confederate	228000
confederate	229000
confederate	315000
confederate	6000
confederate	250000
confederate	80000
confederate	104000
confederate	85000
confederate	85000
confederate	90000
confederate	109000
confederate	110000
confederate	31000
confederate	128000
confederate	84000
confederate	127000
confederate	106000
confederate	10875000
confederate	157000
confederate	165000
confederate	169000
confederate	168000
confederate	168000
confederate	152000
confederate	28000
confederate	2000
confederate	3000
confederate	18000
confederate	34000
confederate	57000
confederate	38000
confederate	28000
confederate	117000
confederate	58000
confederate	57000
confederate	87000
confederate	95000
confederate	74000
confederate	135000
confederate	256000
confederate	59000
confederate	92000
confederate	73000
confederate	155000
confederate	73000
confederate	72000
confederate	90000
confederate	81000
confederate	55000
confederate	72000
confederate	22000
confederate	93000
confederate	84000
confederate	97000
confederate	73000
confederate	71000
confederate	69000
confederate	74000
confederate	78000
confederate	66000
confederate	63000
confederate	85000
confederate	103000
confederate	96000
confederate	58000
confederate	73000
confederate	59000
confederate	59000
confederate	56000
confederate	76000
confederate	68000
confederate	62000
confederate	74000
confederate	65000
confederate	82000
confederate	87000
confederate	89000
confederate	2000
confederate	107000
confederate	3266000
confederate	4380000
confederate	139000
confederate	20000
confederate	95000
confederate	135000
confederate	125000
confederate	77000
confederate	106000
confederate	32000
confederate	876000
confederate	294000
confederate	72000
confederate	163000
confederate	42000
confederate	2000
confederate	15000
confederate	20000
confederate	20000
confederate	93000
confederate	93000
confederate	93000
confederate	91000
confederate	84000
confederate	84000
confederate	84000
confederate	140000
confederate	145000
confederate	121000
confederate	93000
confederate	98000
confederate	93000
confederate	101000
confederate	93000
confederate	93000
confederate	92000
confederate	143000
confederate	93000
confederate	104000
confederate	110000
confederate	23000
confederate	55000
confederate	107000
confederate	93000
confederate	92000
confederate	95000
confederate	10000
confederate	90000
confederate	13000
confederate	92000
confederate	483000
confederate	90000
confederate	150000
confederate	175000
confederate	156000
confederate	118000
confederate	157000
confederate	35000
confederate	159000
confederate	166000
confederate	156000
confederate	828000
confederate	417000
confederate	775000
confederate	2248000
confederate	2118000
confederate	272000
confederate	478000
confederate	3402000
confederate	2021000
confederate	297000
confederate	313000
confederate	1244000
confederate	86000
confederate	86000
confederate	82000
confederate	68000
confederate	55000
confederate	98000
confederate	102000
confederate	76000
confederate	80000
confederate	74000
confederate	77000
confederate	85000
confederate	62000
confederate	71000
confederate	97000
confederate	81000
confederate	61000
confederate	57000
confederate	52000
confederate	53000
confederate	78000
confederate	72000
confederate	14000
confederate	75000
confederate	66000
confederate	66000
confederate	71000
confederate	71000
confederate	110000
confederate	75000
confederate	90000
confederate	84000
confederate	54000
confederate	71000
confederate	87000
confederate	75000
confederate	99000
confederate	68000
confederate	63000
confederate	63000
confederate	88000
confederate	79000
confederate	80000
confederate	71000
confederate	71000
confederate	74000
confederate	95000
confederate	72000
confederate	66000
confederate	66000
confederate	88000
confederate	75000
confederate	102000
confederate	75000
confederate	80000
confederate	68000
confederate	58000
confederate	66000
confederate	57000
confederate	71000
confederate	84000
confederate	154000
confederate	147000
confederate	155000
confederate	149000
confederate	149000
confederate	153000
confederate	153000
confederate	149000
confederate	149000
confederate	149000
confederate	147000
confederate	147000
confederate	59000
confederate	150000
confederate	133000
confederate	132000
confederate	132000
confederate	132000
confederate	133000
confederate	133000
confederate	131000
confederate	132000
confederate	132000
confederate	133000
confederate	149000
confederate	146000
confederate	146000
confederate	146000
confederate	150000
confederate	151000
confederate	148000
confederate	148000
confederate	152000
confederate	152000
confederate	149000
confederate	146000
confederate	146000
confederate	150000
confederate	148000
confederate	149000
confederate	146000
confederate	146000
confederate	146000
confederate	149000
confederate	239000
confederate	230000
confederate	215000
confederate	242000
confederate	209000
confederate	238000
confederate	253000
confederate	381000
confederate	55000
confederate	247000
confederate	136000
confederate	212000
confederate	241000
confederate	243000
confederate	265000
confederate	215000
confederate	231000
confederate	47000
confederate	238000
confederate	230000
confederate	578000
confederate	22000
confederate	90000
confederate	87000
confederate	91000
confederate	81000
confederate	87000
confederate	92000
confederate	50000
confederate	75000
confederate	91000
confederate	123000
confederate	99000
confederate	116000
confederate	101000
confederate	118000
confederate	120000
confederate	224000
confederate	674000
confederate	79000
confederate	73000
confederate	82000
confederate	167000
confederate	76000
confederate	215000
confederate	115000
confederate	68000
confederate	110000
confederate	80000
confederate	85000
confederate	129000
confederate	24000
confederate	41000
confederate	112000
confederate	99000
confederate	102000
confederate	130000
confederate	105000
confederate	76000
confederate	113000
confederate	146000
confederate	103000
confederate	132000
confederate	93000
confederate	131000
confederate	165000
confederate	139000
confederate	3000
confederate	87000
confederate	126000
confederate	133000
confederate	215000
confederate	145000
confederate	151000
confederate	115000
confederate	151000
confederate	133000
confederate	135000
confederate	122000
confederate	60000
confederate	158000
confederate	151000
confederate	118000
confederate	117000
confederate	200000
confederate	176000
confederate	109000
confederate	158000
confederate	126000
confederate	163000
confederate	120000
confederate	210000
confederate	131000
confederate	130000
confederate	132000
confederate	129000
confederate	146000
confederate	1000
confederate	134000
confederate	60000
confederate	84000
confederate	81000
confederate	83000
confederate	77000
confederate	84000
confederate	108000
confederate	45000
confederate	92000
confederate	165000
confederate	97000
confederate	21000
confederate	33000
confederate	21000
confederate	115000
confederate	63000
confederate	81000
confederate	82000
confederate	114000
confederate	114000
confederate	183000
confederate	85000
confederate	99000
confederate	100000
confederate	119000
confederate	130000
confederate	107000
confederate	115000
confederate	112000
confederate	113000
confederate	104000
confederate	212000
confederate	104000
confederate	104000
confederate	91000
confederate	160000
confederate	137000
confederate	200000
confederate	114000
confederate	225000
confederate	151000
confederate	139000
confederate	108000
confederate	104000
confederate	150000
confederate	127000
confederate	104000
confederate	165000
confederate	99000
confederate	118000
confederate	105000
confederate	216000
confederate	114000
confederate	121000
confederate	113000
confederate	114000
confederate	103000
confederate	91000
confederate	126000
confederate	157000
confederate	83000
confederate	97000
confederate	122000
confederate	114000
confederate	133000
confederate	111000
confederate	189000
confederate	110000
confederate	146000
confederate	108000
confederate	127000
confederate	104000
confederate	80000
confederate	84000
confederate	120000
confederate	92000
confederate	244000
confederate	128000
confederate	118000
confederate	116000
confederate	115000
confederate	88000
confederate	50000
confederate	60000
confederate	45000
confederate	60000
confederate	47000
confederate	60000
confederate	72000
confederate	49000
confederate	79000
confederate	53000
confederate	119000
confederate	68000
confederate	74000
confederate	51000
confederate	58000
confederate	49000
confederate	53000
confederate	56000
confederate	73000
confederate	59000
confederate	10000
confederate	10000
confederate	10000
confederate	104000
confederate	61000
confederate	61000
confederate	73000
confederate	73000
confederate	81000
confederate	15000
confederate	10000
confederate	45000
confederate	36000
confederate	94000
confederate	107000
confederate	53000
confederate	50000
confederate	62000
confederate	68000
confederate	75000
confederate	71000
confederate	50000
confederate	64000
confederate	15000
confederate	69000
confederate	85000
confederate	98000
confederate	65000
confederate	54000
confederate	56000
confederate	53000
confederate	37000
confederate	62000
confederate	53000
confederate	58000
confederate	80000
confederate	72000
confederate	38000
confederate	10000
confederate	51000
confederate	47000
confederate	75000
confederate	62000
confederate	10000
confederate	58000
confederate	37000
confederate	66000
confederate	67000
confederate	75000
confederate	52000
confederate	15000
confederate	84000
confederate	68000
confederate	57000
confederate	58000
confederate	61000
confederate	54000
confederate	68000
confederate	57000
confederate	1000
confederate	39000
confederate	39000
confederate	44000
confederate	57000
confederate	73000
confederate	47000
confederate	42000
confederate	40000
confederate	78000
confederate	48000
confederate	57000
confederate	44000
confederate	35000
confederate	37000
confederate	38000
confederate	38000
confederate	58000
confederate	44000
confederate	52000
confederate	52000
confederate	43000
confederate	52000
confederate	60000
confederate	52000
confederate	52000
confederate	53000
confederate	54000
confederate	60000
confederate	76000
confederate	75000
confederate	85000
confederate	64000
confederate	30000
confederate	10000
confederate	10000
confederate	67000
confederate	62000
confederate	30000
confederate	73000
confederate	94000
confederate	10000
confederate	47000
confederate	72000
confederate	42000
confederate	10000
confederate	44000
confederate	10000
confederate	97000
confederate	84000
confederate	50000
confederate	205000
confederate	98000
confederate	68000
confederate	84000
confederate	215000
confederate	232000
confederate	218000
confederate	248000
confederate	315000
confederate	300000
confederate	284000
confederate	5087000
confederate	80000
confederate	72000
confederate	1000
confederate	532000
confederate	209000
confederate	88000
confederate	216000
confederate	407000
confederate	262000
confederate	20000
confederate	78000
confederate	32000
confederate	13689000
confederate	14657000
confederate	1901000
confederate	305000
confederate	872000
confederate	235000
confederate	32000
confederate	35000
confederate	411000
confederate	17000
confederate	140000
confederate	79000
confederate	79000
confederate	78000
confederate	20000
confederate	84000
confederate	88000
confederate	56000
confederate	1724000
confederate	256000
confederate	605000
confederate	1460000
confederate	41000
confederate	51000
confederate	30000
confederate	30000
confederate	94000
confederate	96000
confederate	67000
confederate	67000
confederate	67000
confederate	62000
confederate	10000
confederate	73000
confederate	53000
confederate	117000
confederate	117000
confederate	114000
confederate	100000
confederate	77000
confederate	18000
confederate	18000
confederate	131000
confederate	99000
confederate	45000
confederate	17000
confederate	32000
confederate	142000
confederate	103000
confederate	14000
confederate	28000
confederate	97000
confederate	130000
confederate	142000
confederate	70000
confederate	88000
confederate	124000
confederate	10000
confederate	10000
confederate	88000
confederate	123000
confederate	81000
confederate	95000
confederate	77000
confederate	26000
confederate	26000
confederate	18000
confederate	25000
confederate	130000
confederate	129000
confederate	62000
confederate	306000
confederate	7065000
confederate	236000
confederate	2509000
confederate	120000
confederate	2926000
confederate	29000
confederate	4000
confederate	1572000
confederate	108000
confederate	791000
confederate	40000
confederate	57000
confederate	22000
confederate	95000
confederate	10000
confederate	74000
confederate	53000
confederate	49000
confederate	67000
confederate	75000
confederate	116000
confederate	4149000
confederate	84000
confederate	57000
confederate	84000
confederate	47000
confederate	49000
confederate	545000
confederate	22000
confederate	317000
confederate	363000
confederate	142000
confederate	63000
confederate	50000
confederate	56000
confederate	57000
confederate	52000
confederate	48000
confederate	49000
confederate	15000
confederate	4357000
confederate	4725000
confederate	70000
confederate	79000
confederate	125000
confederate	90000
confederate	104000
confederate	111000
confederate	122000
confederate	146000
confederate	105000
confederate	125000
confederate	121000
confederate	83000
confederate	134000
confederate	70000
confederate	158000
confederate	93000
confederate	146000
confederate	130000
confederate	71000
confederate	117000
confederate	117000
confederate	93000
confederate	111000
confederate	125000
confederate	117000
confederate	166000
confederate	110000
confederate	123000
confederate	112000
confederate	91000
confederate	135000
confederate	124000
confederate	116000
confederate	126000
confederate	58000
confederate	129000
confederate	99000
confederate	159000
confederate	160000
confederate	92000
confederate	108000
confederate	96000
confederate	119000
confederate	92000
confederate	82000
confederate	185000
confederate	130000
confederate	145000
confederate	130000
confederate	73000
confederate	111000
confederate	94000
confederate	86000
confederate	67000
confederate	110000
confederate	68000
confederate	30000
confederate	123000
confederate	99000
confederate	50000
confederate	78000
confederate	104000
confederate	90000
confederate	144000
confederate	114000
confederate	98000
confederate	103000
confederate	97000
confederate	98000
confederate	140000
confederate	96000
confederate	99000
confederate	100000
confederate	96000
confederate	104000
confederate	109000
confederate	103000
confederate	132000
confederate	114000
confederate	128000
confederate	108000
confederate	108000
confederate	104000
confederate	108000
confederate	114000
confederate	109000
confederate	93000
confederate	107000
confederate	107000
confederate	100000
confederate	103000
confederate	116000
confederate	128000
confederate	94000
confederate	91000
confederate	92000
confederate	122000
confederate	34878000
confederate	133000
confederate	143000
confederate	146000
confederate	205000
confederate	252000
confederate	146000
confederate	243000
confederate	218000
confederate	157000
confederate	222000
confederate	159000
confederate	111000
confederate	45000
confederate	190000
confederate	212000
confederate	226000
confederate	98000
confederate	76000
confederate	153000
confederate	133000
confederate	227000
confederate	207000
confederate	163000
confederate	123000
confederate	25000
confederate	124000
confederate	25000
confederate	127000
confederate	185000
confederate	151000
confederate	30000
confederate	30000
confederate	227000
confederate	2000
confederate	138000
confederate	137000
confederate	140000
confederate	25000
confederate	25000
confederate	520000
confederate	579000
confederate	530000
confederate	75000
confederate	342000
confederate	310000
confederate	448000
confederate	387000
confederate	39000
confederate	246000
confederate	260000
confederate	200000
confederate	727000
confederate	2000
confederate	390000
confederate	395000
confederate	297000
confederate	290000
confederate	330000
confederate	285000
confederate	291000
confederate	353000
confederate	2000
confederate	353000
confederate	2000
confederate	186000
confederate	308000
confederate	441000
confederate	535000
confederate	540000
confederate	541000
confederate	353000
confederate	346000
confederate	342000
confederate	386000
confederate	369000
confederate	406000
confederate	441000
confederate	303000
confederate	302000
confederate	319000
confederate	344000
confederate	312000
confederate	323000
confederate	238000
confederate	319000
confederate	280000
confederate	303000
confederate	391000
confederate	314000
confederate	291000
confederate	262000
confederate	297000
confederate	383000
confederate	555000
confederate	85000
confederate	345000
confederate	333000
confederate	299000
confederate	340000
confederate	301000
confederate	391000
confederate	377000
confederate	355000
confederate	334000
confederate	299000
confederate	332000
confederate	318000
confederate	315000
confederate	333000
confederate	316000
confederate	322000
confederate	399000
confederate	225000
confederate	230000
confederate	243000
confederate	234000
confederate	223000
confederate	221000
confederate	219000
confederate	223000
confederate	212000
confederate	219000
confederate	358000
confederate	250000
confederate	302000
confederate	294000
confederate	323000
confederate	304000
confederate	250000
confederate	263000
confederate	283000
confederate	309000
confederate	278000
confederate	303000
confederate	295000
confederate	391000
confederate	6000
confederate	22000
confederate	18000
confederate	520000
confederate	342000
confederate	199000
confederate	254000
confederate	229000
confederate	253000
confederate	5800000
confederate	196000
confederate	328000
confederate	313000
confederate	295000
confederate	357000
confederate	1928000
confederate	197000
confederate	145000
confederate	145000
confederate	151000
confederate	145000
confederate	151000
confederate	151000
confederate	157000
confederate	151000
confederate	145000
confederate	151000
confederate	145000
confederate	145000
confederate	744000
confederate	272000
confederate	246000
confederate	231000
confederate	1444000
confederate	1088000
confederate	748000
confederate	257000
confederate	371000
confederate	287000
confederate	224000
confederate	286000
confederate	318000
confederate	303000
confederate	271000
confederate	226000
confederate	280000
confederate	193000
confederate	252000
confederate	297000
confederate	248000
confederate	367000
confederate	281000
confederate	489000
confederate	241000
confederate	227000
confederate	256000
confederate	271000
confederate	248000
confederate	241000
confederate	245000
confederate	245000
confederate	269000
confederate	265000
confederate	248000
confederate	348000
confederate	215000
confederate	209000
confederate	311000
confederate	311000
confederate	287000
confederate	319000
confederate	314000
confederate	339000
confederate	287000
confederate	315000
confederate	200000
confederate	268000
confederate	262000
confederate	249000
confederate	265000
confederate	284000
confederate	273000
confederate	258000
confederate	332000
confederate	254000
confederate	237000
confederate	215000
confederate	239000
confederate	196000
confederate	205000
confederate	249000
confederate	2101000
confederate	215000
confederate	329000
confederate	291000
confederate	188000
confederate	164000
confederate	269000
confederate	300000
confederate	257000
confederate	254000
confederate	250000
confederate	239000
confederate	226000
confederate	213000
confederate	194000
confederate	257000
confederate	182000
confederate	248000
confederate	219000
confederate	183000
confederate	229000
confederate	209000
confederate	244000
confederate	272000
confederate	187000
confederate	188000
confederate	255000
confederate	281000
confederate	208000
confederate	145000
confederate	276000
confederate	285000
confederate	227000
confederate	230000
confederate	255000
confederate	190000
confederate	170000
confederate	320000
confederate	190000
confederate	190000
confederate	245000
confederate	186000
confederate	263000
confederate	166000
confederate	212000
confederate	154000
confederate	166000
confederate	179000
confederate	304000
confederate	304000
confederate	245000
confederate	183000
confederate	233000
confederate	382000
confederate	172000
confederate	50000
confederate	281000
confederate	256000
confederate	236000
confederate	158000
confederate	234000
confederate	233000
confederate	172000
confederate	222000
confederate	191000
confederate	173000
confederate	257000
confederate	255000
confederate	163000
confederate	161000
confederate	165000
confederate	414000
confederate	232000
confederate	175000
confederate	177000
confederate	188000
confederate	196000
confederate	187000
confederate	179000
confederate	174000
confederate	175000
confederate	187000
confederate	570000
confederate	196000
confederate	301000
confederate	158000
confederate	171000
confederate	569000
confederate	354000
confederate	217000
confederate	217000
confederate	148000
confederate	183000
confederate	269000
confederate	253000
confederate	261000
confederate	211000
confederate	182000
confederate	176000
confederate	188000
confederate	240000
confederate	300000
confederate	404000
confederate	361000
confederate	298000
confederate	353000
confederate	199000
confederate	162000
confederate	218000
confederate	190000
confederate	245000
confederate	153000
confederate	212000
confederate	163000
confederate	177000
confederate	280000
confederate	975000
confederate	1837000
confederate	1103000
confederate	1133000
confederate	1346000
confederate	213000
confederate	248000
confederate	1393000
confederate	138000
confederate	140000
confederate	866000
confederate	78000
confederate	78000
confederate	85000
confederate	79000
confederate	66000
confederate	148000
confederate	85000
confederate	1165000
confederate	1301000
confederate	787000
confederate	1343000
confederate	265000
confederate	848000
confederate	892000
confederate	2111000
confederate	104000
confederate	561000
confederate	1000
confederate	219000
confederate	235000
confederate	233000
confederate	250000
confederate	228000
confederate	261000
confederate	243000
confederate	166000
confederate	144000
confederate	187000
confederate	226000
confederate	223000
confederate	197000
confederate	239000
confederate	217000
confederate	148000
confederate	138000
confederate	1074000
confederate	570000
confederate	1401000
confederate	711000
confederate	471000
confederate	410000
confederate	158000
confederate	1004000
confederate	876000
confederate	422000
confederate	477000
confederate	252000
confederate	224000
confederate	180000
confederate	227000
confederate	211000
confederate	217000
confederate	184000
confederate	1003000
confederate	353000
confederate	70000
confederate	337000
confederate	716000
confederate	352000
confederate	330000
confederate	675000
confederate	960000
confederate	2000
confederate	605000
confederate	152000
confederate	182000
confederate	211000
confederate	224000
confederate	172000
confederate	255000
confederate	80000
confederate	177000
confederate	174000
confederate	200000
confederate	615000
confederate	259000
confederate	121000
confederate	316000
confederate	251000
confederate	582000
confederate	475000
confederate	232000
confederate	70000
confederate	1661000
confederate	278000
confederate	2787000
confederate	242000
confederate	276000
confederate	282000
confederate	204000
confederate	802000
confederate	248000
confederate	198000
confederate	906000
confederate	162000
confederate	162000
confederate	152000
confederate	161000
confederate	236000
confederate	221000
confederate	295000
confederate	203000
confederate	189000
confederate	218000
confederate	209000
confederate	170000
confederate	193000
confederate	212000
confederate	210000
confederate	186000
confederate	204000
confederate	134000
confederate	159000
confederate	145000
confederate	159000
confederate	145000
confederate	143000
confederate	168000
confederate	201000
confederate	282000
confederate	229000
confederate	196000
confederate	243000
confederate	221000
confederate	275000
confederate	199000
confederate	207000
confederate	232000
confederate	214000
confederate	245000
confederate	320000
confederate	230000
confederate	265000
confederate	176000
confederate	168000
confederate	305000
confederate	196000
confederate	373000
confederate	232000
confederate	197000
confederate	224000
confederate	185000
confederate	214000
confederate	228000
confederate	272000
confederate	291000
confederate	230000
confederate	221000
confederate	226000
confederate	326000
confederate	259000
confederate	302000
confederate	245000
confederate	1656000
confederate	198000
confederate	204000
confederate	202000
confederate	205000
confederate	206000
confederate	7615000
confederate	368000
confederate	239000
confederate	209000
confederate	216000
confederate	305000
confederate	193000
confederate	178000
confederate	212000
confederate	324000
confederate	221000
confederate	479000
confederate	382000
confederate	222000
confederate	299000
confederate	223000
confederate	226000
confederate	273000
confederate	255000
confederate	185000
confederate	193000
confederate	185000
confederate	293000
confederate	238000
confederate	389000
confederate	369000
confederate	189000
confederate	306000
confederate	726000
confederate	1486000
confederate	600000
confederate	1261000
confederate	1785000
confederate	674000
confederate	161000
confederate	159000
confederate	129000
confederate	205000
confederate	189000
confederate	46000
confederate	63000
confederate	7498000
confederate	545000
confederate	4424000
confederate	2000
confederate	4000000
confederate	25000
confederate	25000
confederate	25000
confederate	25000
confederate	31000
confederate	22000
confederate	235000
confederate	232000
confederate	145000
confederate	28000
confederate	25000
confederate	25000
confederate	25000
confederate	25000
confederate	132000
confederate	160000
confederate	194000
confederate	137000
confederate	93000
confederate	159000
confederate	22000
confederate	19000
confederate	19000
confederate	255000
confederate	255000
confederate	25000
confederate	219000
confederate	222000
confederate	151000
confederate	135000
confederate	25000
confederate	78000
confederate	84000
confederate	208000
confederate	31000
confederate	31000
confederate	93000
confederate	72000
confederate	25000
confederate	25000
confederate	31000
confederate	1397000
confederate	418000
confederate	141000
confederate	126000
confederate	25000
confederate	25000
confederate	109000
confederate	362000
confederate	107000
confederate	103000
confederate	157000
confederate	25000
confederate	84000
confederate	25000
confederate	140000
confederate	155000
confederate	34000
confederate	14000
confederate	90000
confederate	25000
confederate	25000
confederate	79000
confederate	83000
confederate	135000
confederate	10000
confederate	122000
confederate	114000
confederate	41000
confederate	74000
confederate	10000
confederate	10000
confederate	35000
confederate	10000
confederate	15000
confederate	80000
confederate	30000
confederate	10000
confederate	101000
confederate	86000
confederate	89000
confederate	196000
confederate	32000
confederate	28000
confederate	91000
confederate	10000
confederate	10000
confederate	92000
confederate	94000
confederate	61000
confederate	85000
confederate	88000
confederate	133000
confederate	35000
confederate	89000
confederate	103000
confederate	87000
confederate	107000
confederate	10000
confederate	65000
confederate	63000
confederate	59000
confederate	61000
confederate	59000
confederate	58000
confederate	59000
confederate	94000
confederate	77000
confederate	55000
confederate	56000
confederate	55000
confederate	58000
confederate	70000
confederate	72000
confederate	107000
confederate	105000
confederate	97000
confederate	103000
confederate	92000
confederate	113000
confederate	114000
confederate	74000
confederate	70000
confederate	98000
confederate	101000
confederate	79000
confederate	89000
confederate	3000
confederate	1000
confederate	1000
confederate	18000
confederate	26000
confederate	2000
confederate	3000
confederate	10000
confederate	11000
confederate	13000
confederate	8000
confederate	3000
confederate	6000
confederate	9000
confederate	2000
confederate	3000
confederate	11000
confederate	26000
confederate	25000
confederate	3000
confederate	276000
confederate	40000
confederate	20250000
confederate	10626000
confederate	162000
confederate	245000
confederate	162000
confederate	98000
confederate	98000
confederate	98000
confederate	57000
confederate	157000
confederate	157000
confederate	157000
confederate	154000
confederate	154000
confederate	146000
confederate	146000
confederate	152000
confederate	146000
confederate	146000
confederate	221000
confederate	182000
confederate	221000
confederate	188000
confederate	192000
confederate	184000
confederate	185000
confederate	191000
confederate	187000
confederate	219000
confederate	55000
confederate	47000
confederate	97000
confederate	36000
confederate	115000
confederate	323000
confederate	100000
confederate	145000
confederate	109000
confederate	2343000
confederate	424000
confederate	72000
confederate	143000
confederate	47000
confederate	66000
confederate	249000
confederate	120000
confederate	491000
confederate	494000
confederate	364000
confederate	50000
confederate	29000
confederate	32000
confederate	54000
confederate	5000
confederate	50000
confederate	84000
confederate	38000
confederate	54000
confederate	101000
confederate	101000
confederate	98000
confederate	68000
confederate	45000
confederate	95000
confederate	275000
confederate	93000
confederate	841000
confederate	177000
confederate	9425000
confederate	6368000
confederate	10389000
confederate	16505000
confederate	12318000
confederate	50115000
confederate	1620000
confederate	2306000
confederate	73000
confederate	63000
confederate	353000
confederate	47000
confederate	102000
confederate	96000
confederate	144000
confederate	202000
confederate	298000
confederate	24000
confederate	2520000
confederate	141000
confederate	427000
confederate	129000
confederate	55000
confederate	2000
confederate	3500000
confederate	284000
confederate	179000
confederate	103000
confederate	133000
confederate	145000
confederate	168000
confederate	167000
confederate	85000
confederate	139000
confederate	152000
confederate	131000
confederate	170000
confederate	1000
confederate	161000
confederate	163000
confederate	203000
confederate	89000
confederate	91000
confederate	202000
confederate	240000
confederate	136000
confederate	137000
confederate	129000
confederate	35000
confederate	281000
confederate	191000
confederate	256000
confederate	192000
confederate	176000
confederate	196000
confederate	179000
confederate	173000
confederate	176000
confederate	160000
confederate	200000
confederate	211000
confederate	235000
confederate	177000
confederate	284000
confederate	330000
confederate	156000
confederate	183000
confederate	124000
confederate	161000
confederate	223000
confederate	224000
confederate	310000
confederate	290000
confederate	227000
confederate	161000
confederate	214000
confederate	212000
confederate	309000
confederate	306000
confederate	281000
confederate	208000
confederate	232000
confederate	223000
confederate	220000
confederate	294000
confederate	100000
confederate	197000
confederate	155000
confederate	145000
confederate	264000
confederate	205000
confederate	196000
confederate	178000
confederate	152000
confederate	162000
confederate	160000
confederate	144000
confederate	154000
confederate	167000
confederate	155000
confederate	183000
confederate	246000
confederate	213000
confederate	164000
confederate	217000
confederate	191000
confederate	218000
confederate	212000
confederate	193000
confederate	218000
confederate	191000
confederate	199000
confederate	25000
confederate	236000
confederate	158000
confederate	200000
confederate	155000
confederate	194000
confederate	221000
confederate	183000
confederate	143000
confederate	360000
confederate	139000
confederate	157000
confederate	153000
confederate	114000
confederate	155000
confederate	139000
confederate	179000
confederate	271000
confederate	261000
confederate	145000
confederate	162000
confederate	195000
confederate	121000
confederate	220000
confederate	233000
confederate	90000
confederate	205000
confederate	335000
confederate	138000
confederate	1350000
confederate	107000
confederate	114000
confederate	127000
confederate	108000
confederate	117000
confederate	126000
confederate	115000
confederate	86000
confederate	120000
confederate	122000
confederate	142000
confederate	90000
confederate	148000
confederate	114000
confederate	103000
confederate	160000
confederate	125000
confederate	115000
confederate	131000
confederate	135000
confederate	136000
confederate	140000
confederate	123000
confederate	136000
confederate	111000
confederate	142000
confederate	123000
confederate	149000
confederate	155000
confederate	136000
confederate	127000
confederate	123000
confederate	113000
confederate	134000
confederate	136000
confederate	118000
confederate	137000
confederate	150000
confederate	136000
confederate	133000
confederate	105000
confederate	124000
confederate	99000
confederate	105000
confederate	90000
confederate	93000
confederate	92000
confederate	104000
confederate	90000
confederate	102000
confederate	79000
confederate	384000
confederate	164000
confederate	174000
confederate	174000
confederate	195000
confederate	197000
confederate	253000
confederate	436000
confederate	308000
confederate	303000
confederate	289000
confederate	212000
confederate	161000
confederate	169000
confederate	192000
confederate	140000
confederate	144000
confederate	160000
confederate	156000
confederate	48000
confederate	108000
confederate	245000
confederate	264000
confederate	211000
confederate	207000
confederate	332000
confederate	222000
confederate	213000
confederate	214000
confederate	274000
confederate	473000
confederate	473000
confederate	2000
confederate	384000
confederate	384000
confederate	370000
confederate	354000
confederate	477000
confederate	315000
confederate	379000
confederate	330000
confederate	336000
confederate	339000
confederate	372000
confederate	338000
confederate	319000
confederate	307000
confederate	285000
confederate	13000
confederate	174000
confederate	250000
confederate	173000
confederate	177000
confederate	261000
confederate	251000
confederate	229000
confederate	227000
confederate	198000
confederate	191000
confederate	256000
confederate	261000
confederate	175000
confederate	243000
confederate	199000
confederate	119000
confederate	225000
confederate	224000
confederate	311000
confederate	294000
confederate	253000
confederate	433000
confederate	298000
confederate	339000
confederate	2000
confederate	325000
confederate	321000
confederate	302000
confederate	353000
confederate	468000
confederate	356000
confederate	399000
confederate	276000
confederate	292000
confederate	278000
confederate	374000
confederate	422000
confederate	212000
confederate	291000
confederate	290000
confederate	25000
confederate	44000
confederate	15000
confederate	83000
confederate	15000
confederate	66000
confederate	75000
confederate	74000
confederate	102000
confederate	73000
confederate	140000
confederate	119000
confederate	21000
confederate	88000
confederate	90000
confederate	53000
confederate	84000
confederate	16000
confederate	51000
confederate	76000
confederate	79000
confederate	84000
confederate	79000
confederate	70000
confederate	44000
confederate	28000
confederate	65000
confederate	72000
confederate	77000
confederate	282000
confederate	198000
confederate	229000
confederate	241000
confederate	208000
confederate	240000
confederate	235000
confederate	216000
confederate	281000
confederate	211000
confederate	203000
confederate	268000
confederate	160000
confederate	245000
confederate	204000
confederate	18000
confederate	210000
confederate	292000
confederate	319000
confederate	215000
confederate	311000
confederate	214000
confederate	260000
confederate	251000
confederate	257000
confederate	203000
confederate	230000
confederate	228000
confederate	238000
confederate	9000
confederate	135000
confederate	33000
confederate	150000
confederate	70000
confederate	9000
confederate	9000
confederate	19000
confederate	9000
confederate	9000
confederate	11000
confederate	9000
confederate	15000
confederate	141000
confederate	140000
confederate	140000
confederate	140000
confederate	24000
confederate	9000
confederate	122000
confederate	22000
